SSID,Channel,Frequency,MAC,RSS,Timestamp
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-83,1045
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-83,6049
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-88,11051
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-98,16047
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-95,21030
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-96,26054
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-96,31028
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-96,36064
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-96,41211
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-95,81054
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-95,86061
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-95,91056
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-91,96065
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-82,101038
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-94,106060
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-94,111038
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-90,116042
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-91,121046
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-91,126038
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-95,131040
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-95,134226
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-91,136062
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-88,141062
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-88,146004
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-87,151047
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-83,156060
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-83,161026
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-78,166039
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-79,171039
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-82,176045
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-88,181070
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-86,186057
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-98,191067
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-94,196073
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-85,201034
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-83,206054
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-87,211039
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-82,216057
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-87,221037
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-87,226060
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-84,231056
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-74,236062
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-81,241060
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-77,246064
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-82,251062
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-82,256063
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-82,261043
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-82,266064
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-80,271058
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-73,276062
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-65,281063
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-65,286066
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-56,291065
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-69,296104
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-69,301080
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-69,306076
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-69,311102
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-78,316103
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-81,321097
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-81,326073
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-83,331097
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-79,336103
CiscoLinksysE1202,11,2462,48:f8:b3:57:8c:b0,-79,341105
